n_exteroceptor,vision_distance,p,n_complete,alpha_size,alpha_duration,ks_size,ks_duration,D
16,40,0.021303,252,1.539626,1.656948,0.072297,0.062429,0.5174039999999999
16,40,0.022139,1077,2.034198,2.214408,0.024366,0.031269,0.8042410000000001
16,40,0.022974,519,2.021855,2.294478,0.047067,0.041817,0.9052169999999997
16,40,0.02381,341,1.721953,1.920183,0.032851,0.046685,0.3813060000000001
32,40,0.007937,100,,,,,
32,40,0.008772,100,,,,,
32,40,0.009607,100,,,,,
32,40,0.010443,100,,,,,
32,40,0.011278,105,,,,,
32,40,0.012114,101,,,,,
32,40,0.012949,103,3.0,,0.018638,,
32,40,0.013784,102,3.0,,0.070053,,
32,40,0.01462,103,3.0,3.0,0.015561,0.025269,2.54083
32,40,0.015455,109,2.815869,2.84751,0.043017,0.048055,2.2544510000000004
32,40,0.016291,115,2.654663,2.762622,0.011371,0.021766,1.950422
32,40,0.017126,148,2.626465,2.770386,0.016148,0.013205,1.9262039999999998
32,40,0.017962,294,1.761347,1.903194,0.033813,0.027922,0.41988799999999993
32,40,0.018797,633,1.431472,1.544107,0.047791,0.056093,0.628305
32,40,0.019632,479,1.433643,1.544345,0.036816,0.038163,0.5969909999999998
32,40,0.020468,560,1.712821,1.90549,0.048734,0.046553,0.40261800000000003
32,40,0.021303,205,1.548672,1.677095,0.059432,0.053766,0.484775
32,40,0.022139,1423,1.941397,2.264522,0.025764,0.029353,0.7610359999999999
32,40,0.022974,1001,1.976999,2.297471,0.059549,0.050268,0.8842869999999997
32,40,0.02381,377,1.640126,1.852244,0.042557,0.044394,0.37483299999999997
2,50,0.007937,100,,,,,
2,50,0.008772,101,,,,,
2,50,0.009607,100,,,,,
2,50,0.010443,100,,,,,
2,50,0.011278,103,,,,,
2,50,0.012114,102,,,,,
2,50,0.012949,102,,,,,
2,50,0.013784,101,,,,,
2,50,0.01462,111,,,,,
2,50,0.015455,124,,,,,
2,50,0.016291,183,2.73772,2.827148,0.013888,0.018274,2.09703
2,50,0.017126,1121,1.734394,1.953422,0.025178,0.027516,0.33366599999999996
2,50,0.017962,329,1.779972,1.959732,0.04374,0.041152,0.4051320000000001
2,50,0.018797,179,2.221582,2.500195,0.021331,0.016914,1.2600220000000004
2,50,0.019632,159,2.194775,2.404614,0.016875,0.051018,1.167282
2,50,0.020468,358,2.907275,2.465479,0.079773,0.081143,2.0336700000000003
2,50,0.021303,100,2.70835,2.945947,0.016257,0.034316,2.2048699999999997
2,50,0.022139,112,2.469141,3.0,0.135565,0.034164,2.1388700000000003
2,50,0.022974,82,3.0,,0.033946,,
2,50,0.02381,77,1.96176,2.12417,0.158822,0.143763,0.8885149999999998
4,50,0.007937,100,,,,,
4,50,0.008772,100,,,,,
4,50,0.009607,100,,,,,
4,50,0.010443,100,,,,,
4,50,0.011278,100,,,,,
4,50,0.012114,101,,,,,
4,50,0.012949,103,,,,,
4,50,0.013784,103,,,,,
4,50,0.01462,111,3.0,,0.006362,,
4,50,0.015455,124,2.458466,3.0,0.235762,0.015717,2.209945
4,50,0.016291,199,2.489795,2.686084,0.014591,0.01436,1.70483
4,50,0.017126,804,1.58121,1.741606,0.027839,0.026827,0.39427
4,50,0.017962,399,1.791109,1.970148,0.026256,0.046052,0.39326900000000004
4,50,0.018797,201,2.548389,2.312842,0.051058,0.044716,1.4570049999999997
