p,vision_distance,alpha_size,alpha_duration,ks_duration,ks_size,D
0.017962,80,2.371948,2.633423,0.044806,0.031066,1.5812430000000002
0.018797,80,2.729663,2.988354,0.031486,0.015624,2.265127
0.019632,80,3.0,,,0.018486,
0.020468,80,3.0,,,0.032957,
0.021303,80,,,,,
0.022139,80,,,,,
0.022974,80,,,,,
0.02381,80,,,,,
0.024645,80,,,,,
0.02548,80,,,,,
0.026316,80,,,,,
0.027151,80,,,,,
0.027987,80,,,,,
0.007937,85,,,,,
0.008772,85,,,,,
0.009607,85,,,,,
0.010443,85,3.0,,,0.108093,
0.011278,85,,,,,
0.012114,85,3.0,3.0,0.104986,0.04381,2.648796
0.012949,85,3.0,3.0,0.027575,0.023008,2.550583
0.013784,85,3.0,3.0,0.024104,0.006326,2.53043
0.01462,85,2.531909,2.63584,0.038077,0.028724,1.73455
0.015455,85,1.961272,2.326984,0.025442,0.01104,0.8247379999999999
0.016291,85,1.753826,1.923711,0.038464,0.029413,0.3979920000000002
0.017126,85,2.164966,2.369312,0.037299,0.025726,1.097303
0.017962,85,2.539307,2.807446,0.034561,0.020125,1.901439
0.018797,85,2.605005,3.0,0.035396,0.046053,2.186454
0.019632,85,3.0,,,0.021551,
0.020468,85,,,,,
0.021303,85,,,,,
0.022139,85,,,,,
0.022974,85,,,,,
0.02381,85,,,,,
0.024645,85,,,,,
0.02548,85,,,,,
0.026316,85,,,,,
0.027151,85,,,,,
0.027987,85,,,,,
0.007937,90,,,,,
0.008772,90,,,,,
0.009607,90,,,,,
0.010443,90,,,,,
0.011278,90,3.0,3.0,0.043093,0.038285,2.581378
0.012114,90,3.0,,,0.030611,
0.012949,90,2.635107,3.0,0.02619,0.299594,2.460891
0.013784,90,2.971289,3.0,0.019141,0.017146,2.507576
0.01462,90,2.393188,2.50459,0.038944,0.023994,1.460716
0.015455,90,1.984212,2.275903,0.021962,0.016766,0.7988430000000001
0.016291,90,1.972242,2.153979,0.056539,0.030285,0.7130450000000002
0.017126,90,2.516089,2.38667,0.06815,0.057526,1.528435
0.017962,90,2.351514,2.598779,0.058581,0.037136,1.5460099999999999
0.018797,90,2.63562,,,0.041849,
0.019632,90,,,,,
0.020468,90,,,,,
0.021303,90,,,,,
0.022139,90,,,,,
0.022974,90,,,,,
0.02381,90,,,,,
0.024645,90,,,,,
0.02548,90,,,,,
0.026316,90,,,,,
0.027151,90,,,,,
0.027987,90,,,,,
0.007937,95,,,,,
0.008772,95,,,,,
0.009607,95,,,,,
0.010443,95,,,,,
0.011278,95,,,,,
0.012114,95,3.0,3.0,0.049609,0.049609,2.5992179999999996
0.012949,95,3.0,3.0,0.026546,0.017156,2.543702
0.013784,95,3.0,3.0,0.033669,0.036255,2.5699240000000003
0.01462,95,2.32771,2.425854,0.021576,0.014083,1.2892230000000005
0.015455,95,1.819328,1.884614,0.030966,0.027223,0.49290300000000004
0.016291,95,2.035912,2.214697,0.039192,0.033273,0.8230740000000003
0.017126,95,2.563257,2.400659,0.065784,0.052717,1.5824170000000002
0.017962,95,2.690845,2.949023,0.04698,0.037087,2.223935
0.018797,95,3.0,,,0.032682,
0.019632,95,,,,,
0.020468,95,,,,,
0.021303,95,,,,,
0.022139,95,,,,,
0.022974,95,,,,,
0.02381,95,,,,,
0.024645,95,,,,,
0.02548,95,,,,,
0.026316,95,,,,,
0.027151,95,,,,,
0.027987,95,,,,,
0.007937,100,,,,,
0.008772,100,,,,,
0.009607,100,3.0,,,0.108093,
0.010443,100,3.0,,,0.081459,
0.011278,100,3.0,3.0,0.039139,0.039139,2.578278
0.012114,100,3.0,3.0,0.026167,0.019556,2.545723
0.012949,100,3.0,3.0,0.026551,0.017562,2.544113
0.013784,100,2.72168,2.788403,0.038862,0.029505,2.07845
0.01462,100,2.416553,2.548975,0.023306,0.011722,1.500556
0.015455,100,1.655496,1.890901,0.025155,0.011397,0.3011470000000001
0.016291,100,2.041661,2.235937,0.051619,0.03777,0.8669869999999997
0.017126,100,2.41377,2.672827,0.040077,0.034552,1.6612259999999996
0.017962,100,2.900098,3.0,0.029476,0.023693,2.453267
0.018797,100,2.887939,,,0.033372,
0.019632,100,3.0,,,0.058266,
0.020468,100,,,,,
0.021303,100,,,,,
0.022139,100,,,,,
0.022974,100,,,,,
0.02381,100,,,,,
