vision_distance,n_agents,n_neurons,p,sigma_eff_mean,sigma_eff_std,susceptibility_mean,susceptibility_std,entropy_mean,entropy_std
25,256,64,0.00877193,0.0012500000186264515,0.0054486237606166605,0.0010014925384894014,1.0864549542402759e-05,0.011431262688711285,0.0001025028009801735
25,256,64,0.00960735,0.0037500000558793544,0.011924240195396842,0.0010064775415230542,2.3776943878374613e-05,0.011478294199332596,0.00022432600841762189
25,256,64,0.01044277,0.0037500000558793544,0.008926785668698032,0.0010064775415230542,1.7800014262365874e-05,0.011478294199332596,0.00016793608349416656
25,256,64,0.0112782,0.005000000074505806,0.01274754897393524,0.0010089700459502637,2.5418627743922042e-05,0.01150180995464325,0.00023981459041180235
25,256,64,0.01211362,0.007916666846722365,0.014547575533665974,0.0010164425359107554,3.258105020777197e-05,0.011570466635748743,0.0003028118665382775
25,256,64,0.01294904,0.012500000186264515,0.014790199678140187,0.0010239250375889241,2.9491660907762616e-05,0.011642904533073307,0.00027824220851099574
25,256,64,0.01378446,0.013750000204890967,0.0167238604495295,0.0010264175420161338,3.334737904298105e-05,0.011666420334950089,0.00031461949571604203
25,256,64,0.01461988,0.03229166716337204,0.027759977300541527,0.0010687700356356799,6.182841199639118e-05,0.012059286702424288,0.0005725788890130534
25,256,64,0.0154553,0.06306250104680658,0.04412542858177686,0.0012057125219143926,0.00018180890131868155,0.012933899648487568,0.0011614285039971421
25,256,64,0.01629073,0.08237996296957135,0.03971426225682487,0.0013123100041411817,0.00023251683435717262,0.013884093007072806,0.001512660158280679
25,256,64,0.01712615,0.16636194679886102,0.07921777048401889,0.0030499500397127123,0.0020472504321753064,0.022399412095546724,0.008976672537131528
25,256,64,0.01796157,0.27060827538371085,0.07128136050077964,0.04253081057686359,0.033748472138992285,0.09712131759151817,0.04550270198880189
25,256,64,0.01879699,0.4401968076825142,0.0944612134008262,0.4136376969516277,0.17575516102464894,0.6558186769485473,0.22563853523687516
25,256,64,0.01963241,0.5247977927327157,0.08678028021961,0.708496718108654,0.20644102250539112,1.0553063929080964,0.18644573992301866
25,256,64,0.02046784,0.5839245975017547,0.07550404981949117,0.8040609389543534,0.15508745587539602,1.2220655471086501,0.16027248781072115
25,256,64,0.02130326,0.6377414375543594,0.0986132606044174,0.900259816646576,0.17870978930542938,1.3542458981275558,0.21267405967857822
25,256,64,0.02213868,0.6528198421001434,0.08587046586451878,0.8835936307907104,0.18232130774283842,1.3861836671829224,0.1887458157632286
25,256,64,0.0229741,0.6878783911466598,0.10828557077103079,1.0378671616315842,0.20781215320862445,1.4761738419532775,0.2324525120472668
25,256,64,0.02380952,0.6728677034378052,0.11781871474386445,0.8875068396329879,0.289214861609409,1.3826395124197006,0.26320763629729754
25,256,64,0.02464495,0.7053839057683945,0.15654463681294273,0.9972128421068192,0.41200487776911787,1.4960226953029632,0.3827328751399119
25,256,64,0.02548037,0.7104332089424134,0.13755041679995583,1.0580801337957382,0.48259817485811574,1.489900493621826,0.29559727544404923
25,256,64,0.02631579,0.7504287630319595,0.13237739162954776,0.9483385682106018,0.265675864179391,1.523560631275177,0.2660207675289041
25,256,64,0.02715121,0.7004605874419212,0.1644248627506846,0.9213648930191993,0.4086788753304956,1.4008884489536286,0.3585834343507255
25,256,64,0.02798663,0.7504623144865036,0.12052606430626656,0.9655524075031281,0.333259512570911,1.4966927289962768,0.29268794695170547
30,256,64,0.00793651,0.0037500000558793544,0.008926785668698032,0.0010064775415230542,1.7800014262365874e-05,0.011478294245898723,0.00016793619434381113
30,256,64,0.00877193,0.0037500000558793544,0.008926785668698032,0.001006477535702288,1.780000040615837e-05,0.011478294199332596,0.00016793608349416656
30,256,64,0.00960735,0.005000000074505806,0.012747548973935239,0.0010089700459502637,2.5418627743922042e-05,0.01150180995464325,0.00023981459041180235
30,256,64,0.01044277,0.013750000298023224,0.018498311317703683,0.0010264175361953676,3.688563379341835e-05,0.011666420195251704,0.00034800124491335535
